dimension,theme,type,detail,standard_code,urls,resource_code
Ambiente,Biodiversidad,TDR,TDR Plan de gestión de la biodiversidad,A019,"{'web': 'https://ciruelacertificada.cl/recurso/tdr-plan-de-gestion-de-la-biodiversidad/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P37-A19-Plan-gestion-biodiversidad.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P37-A19-Plan-gestion-biodiversidad.docx'}",000012
Ambiente,Biodiversidad,Registro,Registro de especies exóticas invasoras,A024,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-especies-exoticas-invasoras/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P43-A24-Registro-de-especies-exoticas.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P43-A24-Registro-de-especies-exoticas.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P43-A24-Registro-de-especies-exoticas.xlsx'}",000013
Ambiente,Residuos,Señalética,Contactos,A041,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-contactos/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P62-A41-.pdf'}",000014
Ambiente,Residuos,Señalética,Residuos no reciclables,A049,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-residuos-no-reciclables/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P67-A49-No-reciclables.pdf'}",000015
Ambiente,Residuos,Señalética,Residuos peligrosos,A049,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-residuos-peligrosos/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P67-A49-Peligrosos.pdf'}",000016
Ambiente,Residuos,Señalética,Zona de reciclaje,A049,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-zona-de-reciclaje/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/Accion-67-PP-49-AA-Zona-de-reciclaje-50x50cm.pdf'}",000017
Ambiente,Residuos,Registro,Registro de identificación de residuos,A037,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-identificacion-de-residuos/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P58-A37-Registrp-de-identificacion-de-residuos.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P58-A37-Registrp-de-identificacion-de-residuos.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P58-A37-Registrp-de-identificacion-de-residuos.xlsx'}",000018
Ambiente,Energía,Señalética,Uso eficiente de la energía,A058,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-uso-eficiente-de-la-energia/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/A58-P75-Uso-Energia-1.pdf'}",000019
Ambiente,Energía,Señalética,Ahorro de energía,A056,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-ahorro-de-energia/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P74-A56-Ahorro-energia.pdf'}",000020
Ambiente,Energía,Señalética,Realizar mantenciones preventivas,A056,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-realizar-mantenciones-preventivas/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P74-A56-Mantenciones.pdf'}",000021
Ambiente,Energía,Señalética,Regular el consumo de agua caliente,A056,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-regular-el-consumo-de-agua-caliente/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P74-A56-Agua-caliente.pdf'}",000022
Ambiente,Energía,TDR,TDR: Diagnóstico Energético,A054,"{'web': 'https://ciruelacertificada.cl/recurso/tdr-diagnostico-energetico/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P71-A54-TDR-Diagnostico-Energetico.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P71-A54-TDR-Diagnostico-Energetico.docx'}",000023
Ambiente,Energía,TDR,TDR: Plan de eficiencia enerética,A055,"{'web': 'https://ciruelacertificada.cl/recurso/tdr-plan-de-eficiencia-eneretica/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P73-A55-TDR-Plan-de-eficiencia-Energetica.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P73-A55-TDR-Plan-de-eficiencia-Energetica.docx'}",000024
Ambiente,Energía,Registro,Registro de consumo energético,A052,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-consumo-energetico/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P70-A52-Registro-consmo-energia.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P70-A52-Registro-consmo-energia.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P70-A52-Registro-consmo-energia-1.xlsx'}",000025
Ambiente,GEI,TDR,TDR Cuantificación de emisiones GEI,A063,"{'web': 'https://ciruelacertificada.cl/recurso/tdr-cuantificacion-de-emisiones-gei/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/A63-A64-A66-P79-P80-P82-TDR-Cuantificacion-de-emisiones-GEI.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/A63-A64-A66-P79-P80-P82-TDR-Cuantificacion-de-emisiones-GEI.docx'}",000026
Ambiente,GEI,TDR,TDR Cuantificación de emisiones GEI,A064,"{'web': 'https://ciruelacertificada.cl/recurso/tdr-cuantificacion-de-emisiones-gei/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/A63-A64-A66-P79-P80-P82-TDR-Cuantificacion-de-emisiones-GEI.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/A63-A64-A66-P79-P80-P82-TDR-Cuantificacion-de-emisiones-GEI.docx'}",000027
Ambiente,GEI,TDR,TDR Cuantificación de emisiones GEI,A066,"{'web': 'https://ciruelacertificada.cl/recurso/tdr-cuantificacion-de-emisiones-gei/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/A63-A64-A66-P79-P80-P82-TDR-Cuantificacion-de-emisiones-GEI.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/A63-A64-A66-P79-P80-P82-TDR-Cuantificacion-de-emisiones-GEI.docx'}",000028
Ambiente,GEI,Registro,Registro emisiones GEI,A063,"{'web': 'https://ciruelacertificada.cl/recurso/registro-emisiones-gei/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.xlsx'}",000029
Ambiente,GEI,Registro,Registro emisiones GEI,A064,"{'web': 'https://ciruelacertificada.cl/recurso/registro-emisiones-gei/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.xlsx'}",000030
Calidad,Calidad,Registro,Registro de labores productivas en planta,A076,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-labores-productivas-en-planta/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/A76-Registro-de-labores-productivas.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/A76-Registro-de-labores-productivas.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/A76-Registro-de-labores-productivas.xlsx'}",000031
Calidad,Inocuidad,Señalética,Mantenga la higiene al manipular la fruta,A084,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-mantenga-la-higiene-al-manipular-la-fruta/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/A84-Higiene-al-manipular-la-fruta.pdf'}",000032
Social,Condiciones de trabajo,TDR,TDR Programa de prevención de riesgos,A121,"{'web': 'https://ciruelacertificada.cl/recurso/tdr-programa-de-prevencion-de-riesgos/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P131-A-121.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P131-A-121.docx'}",000033
Social,Condiciones de trabajo,Registro,Registro de la gestión de seguridad de los trabajadores,A118,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-la-gestion-de-seguridad-de-los-trabajadores/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.xlsx'}",000034
Social,Comunidades locales,Registro,Mapeo de actores con identificación de impactos ,A107,"{'web': 'https://ciruelacertificada.cl/recurso/mapeo-de-actores-con-identificacion-de-impactos/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.xlsx'}",000035
