dimensión,tema,tipo,detalle,código_recurso,url_web,url_curso,url_pdf,url_word,url_excel
Social,Condiciones de trabajo,TDR,TDR Programa de prevención de riesgos,P131,https://ciruelacertificada.cl/recurso/tdr-programa-de-prevencion-de-riesgos/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P131-A-121.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P131-A-121.docx,
Social,Condiciones de trabajo,Registro,Registro de la gestión de seguridad de los trabajadores,P126,https://ciruelacertificada.cl/recurso/registro-de-la-gestion-de-seguridad-de-los-trabajadores/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.xlsx
Social,Condiciones de trabajo,Registro,Registro de entrega de EPP,P130,https://ciruelacertificada.cl/recurso/registro-de-entrega-de-epp/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P130-Registro-de-entrega-de-EPP.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P130-Registro-de-entrega-de-EPP.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P130-Registro-de-entrega-de-EPP.xlsx
Social,Comunidades locales,Registro,Mapeo de actores con identificación de impactos ,P114,https://ciruelacertificada.cl/recurso/mapeo-de-actores-con-identificacion-de-impactos/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.xlsx
Social,Comunidades locales,Registro,Matriz con medidas de mitigación,P115,https://ciruelacertificada.cl/recurso/matriz-con-medidas-de-mitigacion/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108-Matriz-con-medidas-de-mitigacion.xlsx
Social,Comunidades locales,Registro,Libro de reclamos y sugerencias,P121,https://ciruelacertificada.cl/recurso/libro-de-reclamos-y-sugerencias/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.xlsx
Social,Comunidades locales,Registro,Registro de portafolio de evidencia,"P116, P118, P120",https://ciruelacertificada.cl/recurso/registro-de-portafolio-de-evidencia/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.xlsx
Ética,Debida diligencia,Registro,Matriz con listado de normativas aplicables,P143,https://ciruelacertificada.cl/recurso/matriz-con-listado-de-normativas-aplicables/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P143-A129-Matriz-de-normativas-1.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P143-A129-Matriz-de-normativas-1.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P143-A129-Matriz-de-normativas-1.xlsx
General,General,Registro,Registro de capacitaciones,"P002, P004, P027, P038, P063, P068, P072, P081, P089, P110, P112 P113, P134, P139",https://ciruelacertificada.cl/recurso/registro-de-capacitaciones/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.xlsx
General,General,Registro,Acta de reuniones,"P039, P109, P144",https://ciruelacertificada.cl/recurso/acta-de-reuniones/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P39-P109-P144-A21-A102-A134-Acta-de-reunion.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P39-P109-P144-A21-A102-A134-Acta-de-reunion.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P39-P109-P144-A21-A102-A134-Acta-de-reunion.xlsx
